"","Assault","Intentional homicide","Rape","Robbery","Sexual assault","Sexual violence","Theft"
"Albania",11.9,2.57,1.07,5.31,0.91,1.98,96.49
"Austria",48.27,0.61,9.35,54.91,36.68,46.02,2047.79
"Belgium",722.26,1.76,29.31,219.3,69.35,98.66,2321.45
"Bosnia and Herzegovina",NA,1.74,0.75,NA,NA,NA,175.34
"Bulgaria",41.81,2.01,3.29,48.16,6.43,9.72,592.97
"Croatia",24.57,1.14,2.99,32.74,12.41,15.41,327.05
"Cyprus",27.48,2.38,3.39,17.82,6.4,9.79,365.4
"Czech Republic",161.97,1.01,4.6,44.96,11.99,16.59,1468.85
"Denmark",29.08,0.85,15.93,72.65,14.39,30.32,4488.62
"England and Wales",726.23,1.08,27.39,136.46,40.39,67.78,2892.44
"Estonia",7.94,5.24,9.28,54.35,9.73,19.02,1859.27
"Finland",39.11,2.25,12.39,30.79,27.02,39.41,1873.3
"Former Yugoslav Republic of Macedonia, the",11.13,1.71,1.81,29.14,NA,NA,280.38
"France",342.07,1.27,15.29,175.24,20.84,36.14,2149.68
"Germany",182.07,0.88,8.92,60.14,50.94,59.86,1595.91
"Greece",70.93,1.29,1.92,42.5,6.41,8.33,1136.39
"Hungary",127.48,1.39,2.27,31.49,4.27,6.54,1248.6
"Iceland",24.74,0.31,24.42,18.79,NA,NA,1750.02
"Ireland",344.59,1.95,7.28,55.09,22.43,29.7,1703.73
"Italy",111.2,1,NA,85.99,8.41,NA,1953.07
"Kosovo (under United Nations Security Council Resolution 1244/99)",162.29,3.35,2.02,26.87,4.26,6.28,631.5
"Latvia",56.18,4.99,3.19,70.09,NA,NA,1348.37
"Liechtenstein",252.89,0,0,5.62,NA,NA,564.78
"Lithuania",6.91,7.54,4.68,105.63,6.69,11.37,954.16
"Luxembourg",476.19,1.01,11.35,84.7,61.6,72.95,1434.45
"Malta",42.1,0.97,2.92,49.16,17.03,19.95,1762.85
"Montenegro",30.14,1.62,1.46,1.13,6.16,7.62,106.29
"Netherlands",398.46,0.93,11.65,98.66,50.5,62.14,4266.19
"Northern Ireland (UK)",89.86,1.62,23.63,73.62,75.41,99.04,1601.62
"Norway",64.45,0.6,20.79,37.01,29.42,50.22,3030.35
"Poland",32.93,1.29,4.01,50.52,NA,NA,545.93
"Portugal",314.35,1.23,3.57,193.81,20.63,24.2,1147.39
"Romania",44.38,1.94,4.93,12.43,2.93,7.85,241.67
"Scotland",107.75,1.61,16.94,47.84,76.02,92.97,2221.44
"Serbia",19.66,1.85,1.51,62.62,4.1,5.62,243.12
"Slovakia",48.64,1.56,2.64,25.23,NA,NA,586.15
"Slovenia",107.12,0.64,3.89,23.67,18.55,22.44,1405.56
"Spain",174.98,0.89,4.44,140.92,16.59,21.03,470.7
"Sweden",932.13,1,58.91,103.39,103.12,162.03,4600.93
"Switzerland",6.8,0.66,8.65,65.27,77.67,86.32,1743.62
"Turkey",271.35,2.92,NA,12.16,NA,NA,244.06
