"","Assault","Intentional homicide","Rape","Robbery","Sexual assault","Sexual violence","Theft"
"Albania",NA,NA,NA,NA,NA,NA,NA
"Austria",44.18,0.73,15.32,44.22,29.4,44.72,1761.28
"Belgium",624.87,1.84,29.97,204.98,72.16,102.13,2007.85
"Bosnia and Herzegovina",NA,NA,NA,NA,NA,NA,NA
"Bulgaria",33.91,1.5,2.25,40.87,6.42,8.68,621.26
"Croatia",19.31,1.08,6.43,35.73,7.09,13.51,329.67
"Cyprus",15.24,1.27,2.08,17.21,3.35,5.43,143.78
"Czech Republic",177.72,0.87,5.6,29.01,7.87,13.47,1194.1
"Denmark",26.83,0.73,14.98,57.12,17.92,32.9,4088.26
"England and Wales",566.5,0.92,36.56,101.88,46.49,83.05,2337.36
"Estonia",7.5,3.94,10.23,36.06,7.95,18.18,1247.18
"Finland",32.78,1.66,17.97,28.08,37.09,55.06,1873.43
"Former Yugoslav Republic of Macedonia, the",10.47,0.97,1.84,22.69,5.48,7.32,292.73
"France",355.64,1.18,17.03,190.02,25.32,42.34,1868.61
"Germany",158.8,0.77,9.2,58.66,34.68,43.88,1596.76
"Greece",14.63,1.28,1.35,44.7,6.46,7.82,939.68
"Hungary",135,1.39,2.5,23.19,4.35,6.85,1501.57
"Iceland",28.58,0.31,55.93,15.22,NA,NA,1274.48
"Ireland",275.4,1.81,9.82,61.12,31.21,41.04,1554.51
"Italy",111.11,0.84,NA,106.84,7.52,NA,1842.76
"Kosovo (under United Nations Security Council Resolution 1244/99)",NA,NA,NA,NA,NA,NA,NA
"Latvia",22.63,3.41,3.61,45.31,15.02,18.63,1019.01
"Liechtenstein",279.6,0,8.14,2.71,105.87,114.01,632.5
"Lithuania",7.1,5.79,4.48,62.79,7.37,11.84,769.07
"Luxembourg",132.77,0.19,16.57,108.37,58.84,75.41,1924.26
"Malta",51.74,1.42,3.56,49.13,18.75,22.31,2009.9
"Montenegro",27.86,1.45,0.64,25.93,3.06,3.7,119.02
"Netherlands",314.97,0.74,7.21,78.19,42.43,49.64,3842.32
"Northern Ireland (UK)",59.84,1.09,27.32,53.05,88.14,115.46,1377.82
"Norway",50.8,0.91,22.49,33,27.02,49.51,2638.98
"Poland",22.52,0.78,3.58,35.63,1.42,5,525.53
"Portugal",4.84,1.37,3.29,158.19,18.05,21.34,904.92
"Romania",87.77,1.68,4.89,14.65,3.72,8.61,287.5
"Scotland",61.43,1.15,31.77,28.18,112.18,143.94,1802.48
"Serbia",17.91,1.82,0.97,53.41,3.5,4.47,441.13
"Slovakia",37.28,1.44,1.68,15.45,NA,NA,626
"Slovenia",89.81,0.58,2.57,18.31,15.79,18.36,1697.18
"Spain",35.74,0.65,2.78,184.12,16.32,19.1,349.82
"Sweden",48.76,0.91,58.96,87.5,117.92,176.88,4008.4
"Switzerland",7.07,0.71,7.1,67.47,26.43,33.54,2293.2
"Turkey",NA,NA,NA,NA,NA,NA,NA
