"","Assault","Intentional homicide","Rape","Robbery","Sexual assault","Sexual violence","Theft"
"Albania",NA,NA,NA,NA,NA,NA,NA
"Austria",47.93,1.05,14.94,48.67,33.11,48.05,1742.6
"Belgium",651.76,1.85,30.69,230.81,66.08,96.77,2144.43
"Bosnia and Herzegovina",16.1,1.56,1.07,26.31,NA,NA,173.86
"Bulgaria",32.89,1.92,2.55,40.33,6.81,9.36,606.81
"Croatia",21.12,1.19,2.95,37.14,5.07,8.02,403.37
"Cyprus",17.17,2.2,2.9,20.07,5.1,8,179.81
"Czech Republic",174.75,0.9,6.37,32.52,7.05,13.42,1136.24
"Denmark",171.26,0.77,15.57,53.81,18.55,34.12,4271.42
"England and Wales",551.63,0.97,29.05,115.58,40.01,69.06,2414.98
"Estonia",7.47,4.75,10.79,34.48,7.92,18.71,1405.66
"Finland",34.36,1.63,18.68,29.92,41.19,59.87,1772.49
"Former Yugoslav Republic of Macedonia, the",10.24,1.36,2.09,22.77,NA,NA,292.94
"France",355,1.2,16.68,189.67,24.35,41.03,1798.31
"Germany",169.4,0.77,10,60.64,35.16,45.16,1578
"Greece",15.26,1.49,1.51,54.05,5.9,7.41,1074.09
"Hungary",140.69,1.14,1.93,30.57,5.05,6.99,1601.37
"Iceland",23.16,0.31,38.18,15.65,NA,NA,1297.66
"Ireland",296.03,1.72,11.33,61.47,31.82,43.14,1482.84
"Italy",117.06,0.89,NA,105.47,7.89,NA,1795.91
"Kosovo (under United Nations Security Council Resolution 1244/99)",NA,NA,NA,NA,NA,NA,NA
"Latvia",64.8,4.74,3.13,46.12,NA,NA,1043.67
"Liechtenstein",189.17,0,10.97,13.71,NA,NA,540.1
"Lithuania",5.93,6.03,5.93,64.02,8.76,14.68,781.65
"Luxembourg",128.99,0.57,14.48,100.41,61.35,75.83,1761.06
"Malta",41.67,2.39,3.11,61.55,16.53,19.64,2081.21
"Montenegro",27.08,2.42,0.48,18.86,3.39,3.87,138.16
"Netherlands",342.49,0.87,8.43,88.25,44.65,53.08,3898.6
"Northern Ireland (UK)",70.26,1.15,27.65,57.18,74.55,102.2,1309.78
"Norway",55.78,0.54,22.38,29.76,30.29,52.67,2836.92
"Poland",25.54,0.99,3.76,43.83,NA,NA,606.22
"Portugal",6.65,1.16,3.56,175.61,16.69,20.24,970.09
"Romania",85.68,1.88,4.45,15.89,3.21,7.67,282.3
"Scotland",68.65,1.19,25.86,34.53,101.05,126.91,1781.88
"Serbia",18.33,1.44,1.18,52.53,4.3,5.47,248.04
"Slovakia",40.39,1.39,1.63,18.02,NA,NA,642.63
"Slovenia",98.86,0.68,2.82,19.02,15.03,17.85,1649.48
"Spain",37.06,0.78,2.73,206.34,16.51,19.24,353.06
"Sweden",56.29,0.72,62.73,97.15,107.83,170.56,4001.9
"Switzerland",7.51,0.57,7.15,76.38,25.29,32.45,2522.38
"Turkey",351.06,2.42,NA,13.79,NA,NA,321.08
