"","Assault","Intentional homicide","Rape","Robbery","Sexual assault","Sexual violence","Theft"
"Albania",NA,NA,NA,NA,NA,NA,NA
"Austria",42.79,0.47,13.68,40.92,28.21,41.9,1693.6
"Belgium",628.2,1.86,27.46,195.92,74.54,102,1864.29
"Bosnia and Herzegovina",NA,NA,NA,NA,NA,NA,NA
"Bulgaria",34.96,1.6,2.04,32.1,6.38,8.42,569.25
"Croatia",18.04,0.85,7.89,29.86,6.33,14.22,283.58
"Cyprus",15.62,1.17,1.63,12.12,4.31,5.94,112.59
"Czech Republic",161.23,0.8,6.36,24.23,7.23,13.59,986.53
"Denmark",27.24,1.05,14.87,41.26,19.03,33.91,3809.31
"England and Wales",651.9,0.91,51.24,87.88,61.64,112.89,2217.55
"Estonia",5.85,3.12,11.17,27.36,3.95,15.12,1196.06
"Finland",29.97,1.63,18.51,30.98,33.31,51.82,1874.17
"Former Yugoslav Republic of Macedonia, the",10.41,1.21,2.18,14.76,NA,NA,267.45
"France",360.79,1.2,18.44,173.02,28.51,46.95,1904.2
"Germany",155.7,0.8,9.09,56.3,34.19,43.28,1621.54
"Greece",13.35,0.96,1.23,34.78,4.16,5.39,857.31
"Hungary",136.42,1.31,3.22,19.78,2.3,5.52,1336.57
"Iceland",31.01,0.31,39.61,15.66,NA,NA,1126.9
"Ireland",293.67,1.74,10.34,57.47,30.94,41.28,1518.49
"Italy",108.88,0.78,NA,95.99,7,NA,1845.52
"Kosovo (under United Nations Security Council Resolution 1244/99)",NA,NA,NA,NA,NA,NA,NA
"Latvia",28.43,3.85,3.75,40.42,18.44,22.18,1028.15
"Liechtenstein",323.2,2.69,13.47,2.69,37.71,51.17,576.37
"Lithuania",6.93,5.27,5.37,57.35,8.26,13.62,731.99
"Luxembourg",132.44,0.73,13.28,111.88,65.86,79.14,1866.36
"Malta",37.61,1.41,2.59,44.67,15.52,18.1,1927.2
"Montenegro",20.76,3.06,0.8,30.25,4.18,4.99,143.52
"Netherlands",299.18,NA,7.01,61.32,40.23,47.24,3489.21
"Northern Ireland (UK)",63.79,0.93,35.65,49.31,103.14,138.79,1350.15
"Norway",46.54,0.57,22.06,20.81,38.86,60.92,2339.77
"Poland",18.75,0.74,4.98,26.58,1.35,6.33,422.9
"Portugal",5.2,0.88,3.59,149.55,20.15,23.74,873.1
"Romania",11.43,1.49,4.39,32.17,3.21,7.6,824.15
"Scotland",59.32,1.11,33.67,28.05,129.56,163.22,1678.66
"Serbia",16.05,1.58,0.91,45.22,4.28,5.19,374.1
"Slovakia",36.13,1.33,1.61,12.56,12.54,14.14,550.52
"Slovenia",80.39,0.82,2.13,14.41,12.23,14.36,1460.54
"Spain",36.07,0.69,2.66,152.34,17.69,20.36,333.79
"Sweden",47.38,0.9,65.26,86.72,137.05,202.3,3995.85
"Switzerland",7.48,0.5,6.83,49.23,26.92,33.75,1992.33
"Turkey",NA,NA,NA,NA,NA,NA,NA
