"","Assault","Intentional homicide","Rape","Robbery","Sexual assault","Sexual violence","Theft"
"Albania",5.97,4.38,0.78,9.46,0.78,1.55,163.19
"Austria",46.53,0.96,15.69,48.55,31.56,47.25,1723.26
"Belgium",716.12,1.95,30.88,248.54,71.84,102.72,2203.5
"Bosnia and Herzegovina",16.97,1.27,0.91,25.37,NA,NA,175.3
"Bulgaria",33.41,1.74,2.13,42.2,6.68,8.81,642.15
"Croatia",20.35,1.14,2.84,32.22,5.97,8.81,371.32
"Cyprus",19.53,0.95,4.53,16.31,4.64,9.17,200.89
"Czech Republic",185.08,0.79,6.44,37.01,7.45,13.88,1185.06
"Denmark",30.5,0.88,15.34,58.28,18.22,33.56,4389.77
"England and Wales",602.28,0.94,28.67,133.53,39.8,68.47,2649.05
"Estonia",7.82,4.89,6.84,39.48,6.69,13.54,1517.31
"Finland",37.86,2.05,19.33,30.18,39.44,58.77,1869.69
"Former Yugoslav Republic of Macedonia, the",11.62,1.31,1.99,24.94,NA,NA,269.87
"France",355.97,1.32,16.01,186.16,20.72,36.74,1791.04
"Germany",173.38,0.86,9.4,59.86,35.92,45.32,1590.67
"Greece",12.81,1.65,1.55,59.66,3.26,4.81,1161.05
"Hungary",142.32,1.42,1.96,32.08,4.34,6.3,1574.59
"Iceland",18.84,0.94,40.19,13.19,NA,NA,1319.82
"Ireland",321.8,1.44,10.13,64.12,30.1,40.23,1456.63
"Italy",115.39,0.93,NA,98.05,7.78,NA,1750
"Kosovo (under United Nations Security Council Resolution 1244/99)",208.62,3.46,1.34,35.06,5.63,6.97,955.37
"Latvia",55.96,3.33,2.41,50.47,NA,NA,NA
"Liechtenstein",215.77,0,5.53,2.77,NA,NA,509
"Lithuania",6.75,6.19,6.26,81.96,11.07,17.33,894.29
"Luxembourg",133.05,0.78,13.68,77.76,55.49,69.16,1714.4
"Malta",43.62,0.72,4.34,52.77,12.29,16.63,2053.07
"Montenegro",25.97,3.07,0.48,23.23,3.39,3.87,108.57
"Netherlands",356.78,0.86,9.64,92.4,45.57,55.21,4020.7
"Northern Ireland (UK)",79.91,1.27,30.28,70.13,71.4,101.68,1352.83
"Norway",57.66,2.26,21.85,32.99,32.23,54.08,2748.91
"Poland",28.12,1.18,3.94,46.58,NA,NA,604.91
"Portugal",7.68,1.08,3.54,192.68,17.1,20.64,930.68
"Romania",57.43,1.56,3.64,10.51,2.55,6.19,220.99
"Scotland",88.87,1.76,22.4,42.5,95.61,118.02,2063.33
"Serbia",18.05,1.57,1.09,48.93,5.21,6.3,241.73
"Slovakia",41.3,1.78,2.78,15.78,NA,NA,697.51
"Slovenia",96.28,0.83,2.68,19.66,20.29,22.97,1496.3
"Spain",39.19,0.82,3.24,187.97,17.95,21.2,332.4
"Sweden",60.37,0.86,64.35,103.22,106.59,170.94,4041.79
"Switzerland",6.19,0.58,7.01,66.53,28.77,35.78,2408.09
"Turkey",323.37,2.29,NA,13.11,NA,NA,284.67
