"","Assault","Intentional homicide","Rape","Robbery","Sexual assault","Sexual violence","Theft"
"Albania",11.45,2.78,1.23,4.54,0.57,1.8,100.88
"Austria",47.48,0.7,8.34,57.61,42.03,50.37,2094.47
"Belgium",715.43,1.9,30.29,214.47,70.76,101.05,2303.23
"Bosnia and Herzegovina",38.35,1.72,0.91,19.41,NA,NA,212.81
"Bulgaria",42.78,2.29,3.48,38.15,6.48,9.96,566.01
"Croatia",26.16,1.65,4.36,29.2,13.38,17.74,354.83
"Cyprus",21.51,1.16,4.38,9.15,8.12,12.49,411.03
"Czech Republic",172.82,1.09,5.11,44.87,11.13,16.24,1605.71
"Denmark",30.37,0.99,17.81,62.09,15.29,33.09,4504.61
"England and Wales",767.4,1.17,23.98,146.72,40.67,64.65,2916.32
"Estonia",10.46,6.28,11.95,67.91,8.07,20.02,1756.22
"Finland",42.03,2.51,17.26,32,33.88,51.15,1754.54
"Former Yugoslav Republic of Macedonia, the",10.41,1.71,2,22.39,NA,NA,324.03
"France",293.62,1.6,16.06,166.6,21.49,37.54,1503.87
"Germany",630.64,0.8,8.87,60.71,60.2,69.07,2496.92
"Greece",71.61,1.24,2.07,29.45,4.02,6.1,1038.79
"Hungary",126.99,1.46,2.13,31.14,2.49,4.62,1265.5
"Iceland",24.41,0,21.56,13.63,NA,NA,1495.6
"Ireland",363.1,2,7.81,51.57,20.26,28.06,1724.2
"Italy",112.17,1.05,NA,110.03,8.34,NA,2085.33
"Kosovo (under United Nations Security Council Resolution 1244/99)",156.79,5.25,2.32,19.55,5.16,7.48,718.3
"Latvia",61.41,4.52,4.56,65.74,NA,NA,1179.12
"Liechtenstein",248.9,2.83,8.49,2.83,NA,NA,503.45
"Lithuania",7.81,8.9,5.1,107.45,6.35,11.45,921.68
"Luxembourg",478.92,1.45,11.78,67.38,NA,NA,1451.22
"Malta",48.06,1.47,4.66,36.04,14.96,19.62,2090.32
"Montenegro",31.84,3.57,2.76,0.97,3.74,6.5,128.99
"Netherlands",420.62,0.91,11.86,80.31,52.12,63.97,4292.25
"Northern Ireland (UK)",87.5,1.36,20.79,64.9,79.59,100.37,1377.12
"Norway",69.22,0.72,19.93,33.73,28.54,48.47,2914.88
"Poland",NA,1.21,4.23,55.32,NA,NA,562.54
"Portugal",317.38,1.17,2.98,197.61,18.35,21.33,1202.99
"Romania",45.83,2.28,4.92,11.94,2.67,7.59,202.92
"Scotland",1540.54,1.83,15.83,57.13,71.15,86.98,2256.72
"Serbia",21.48,1.74,1.67,55.42,3.76,5.43,269.68
"Slovakia",50.26,1.75,2.83,25.5,NA,NA,627.65
"Slovenia",106.2,0.55,2.84,19.2,16.22,19.05,1430.9
"Spain",159.41,0.89,5.34,156.39,18.5,23.84,520.1
"Sweden",920.9,0.89,53.37,97.02,99.72,153.09,4752.8
"Switzerland",117.11,0.71,8.06,55.57,NA,NA,1591.06
"Turkey",NA,NA,NA,NA,NA,NA,NA
